id,Projeto,Pull Requests,Link,Status-Refactory,Status-Chart,Responsável 
5495,dmd,5239,https://github.com/D-Programming-Language/dmd,,,
2265342,RIOT,3346,https://github.com/RIOT-OS/RIOT,,,
10739107,chapel,2844,https://github.com/chapel-lang/chapel,,,
19810,astropy,2791,https://github.com/astropy/astropy,,,
6013,numpy,2653,https://github.com/numpy/numpy,AGUARDANDO,DADOS-COLETADOS,Romero
2045,libgit2,2483,https://github.com/libgit2/libgit2,,,
17219,core,2390,https://github.com/cfengine/core,,,
10912,mruby,2338,https://github.com/mruby/mruby,,,
34957,Firmware,2134,https://github.com/px4/Firmware,AGUARDANDO,DADOS-COLETADOS,Romero
16827100,grpc,2054,https://github.com/grpc/grpc,AGUARDANDO,DADOS-COLETADOS,Romero
8540,openFrameworks,1977,https://github.com/openframeworks/openFrameworks,,,
12075,pioneer,1956,https://github.com/pioneerspacesim/pioneer,,,
7704341,neovim,1954,https://github.com/neovim/neovim,,,
16356,cphalcon,1939,https://github.com/phalcon/cphalcon,,,
2916055,minetest,1815,https://github.com/minetest/minetest,,,
177326,libgdx,1774,https://github.com/libgdx/libgdx,,,
216519,suricata,1711,https://github.com/inliniac/suricata,,,
5603,php-src,1613,https://github.com/php/php-src,,,
3209,FreeRDP,1594,https://github.com/FreeRDP/FreeRDP,,,
1964605,ardupilot,1402,https://github.com/diydrones/ardupilot,,,
14794450,Marlin,1400,https://github.com/MarlinFirmware/Marlin,INVÁLItDO,ABERTO,ABERTO
4371013,RetroArch,1395,https://github.com/libretro/RetroArch,ABERTO,ABERTO,ABERTO
18659,Cinnamon,1393,https://github.com/linuxmint/Cinnamon,INVÁLIDO,ABERTO,Romero
14098,radare2,1354,https://github.com/radare/radare2,ABERTO,ABERTO,LUIZ
7402,wiredtiger,1311,https://github.com/wiredtiger/wiredtiger,ABERTO,ABERTO,ABERTO
206816,nit,1251,https://github.com/privat/nit,INVÁLIDO,ABERTO,Romero
2341237,TauLabs,1250,https://github.com/TauLabs/TauLabs,PULL_REQUEST_ENVIADO,ABERTO,Romero
60622,cvmfs,1218,https://github.com/cvmfs/cvmfs,,,
25991,zfs,1188,https://github.com/zfsonlinux/zfs,ABERTO,ABERTO,ABERTO
174722,fontforge,1187,https://github.com/fontforge/fontforge,ABERTO,ABERTO,LUIZ
84149,systemd,1174,https://github.com/systemd/systemd,ABERTO,ABERTO,ABERTO
13521151,firefox-ios,1168,https://github.com/mozilla/firefox-ios,,,
44428,TextSecure,1157,https://github.com/WhisperSystems/Signal-Android,ABERTO,ABERTO,Romero
2713024,mbed,1142,https://github.com/mbedmicro/mbed,ABERTO,ABERTO,Romero
770,redis,1078,https://github.com/antirez/redis,ABERTO,ABERTO,LUIZ
1312712,contiki,1054,https://github.com/contiki-os/contiki,ABERTO,ABERTO,LUIZ
4712205,MCServer,1040,https://github.com/mc-server/MCServer,INVÁLIDO,ABERTO,Romero
27564,darktable,1011,https://github.com/darktable-org/darktable,ABERTO,ABERTO,ABERTO
9698210,citra,943,https://github.com/citra-emu/citra,INVÁLIDO,ABERTO,Romero
7560,paparazzi,916,https://github.com/paparazzi/paparazzi,ABERTO,ABERTO,LUIZ
1360099,ert,899,https://github.com/Ensembles/ert,,,
43282,czmq,858,https://github.com/zeromq/czmq,ABERTO,ABERTO,ABERTO
2898,mongo-php-driver,855,https://github.com/mongodb/mongo-php-driver,,,
7197777,micropython,845,https://github.com/micropython/micropython,ABERTO,ABERTO,LUIZ
3635801,rr,841,https://github.com/mozilla/rr,INVÁLIDO,ABERTO,ABERTO
1196,pacemaker,830,https://github.com/ClusterLabs/pacemaker,PULL_REQUEST_ENVIADO,ABERTO,Romero
6423074,Meridian59_103,827,https://github.com/Daenks/Meridian59_103,ABERTO,ABERTO,LUIZ
979882,freeradius-server,817,https://github.com/FreeRADIUS/freeradius-server,INVALIDO,ABERTO,ABERTO
74,libuv,775,https://github.com/joyent/libuv,,,
1529,collectd,761,https://github.com/collectd/collectd,ABERTO,ABERTO,LUIZ
6198,tvheadend,747,https://github.com/tvheadend/tvheadend,ABERTO,ABERTO,ABERTO
8970485,OpenRCT2,732,https://github.com/IntelOrca/OpenRCT2,INVÁLIDO,ABERTO,ABERTO
12185772,ompi-release,724,https://github.com/open-mpi/ompi-release,ABERTO,ABERTO,LUIZ
8824,cgminer,649,https://github.com/ckolivas/cgminer,ABERTO,ABERTO,LUIZ
901621,JohnTheRipper,623,https://github.com/magnumripper/JohnTheRipper,ABERTO,AGUARDANDO,LUIZ
4270329,ProjectTox-Core,621,https://github.com/irungentoo/ProjectTox-Core,ABERTO,ABERTO,ABERTO
1353232,mpv,611,https://github.com/mpv-player/mpv,ABERTO,ABERTO,LUIZ
12190410,cleanflight,604,https://github.com/cleanflight/cleanflight,ABERTO,ABERTO,LUIZ
4090,luvit,594,https://github.com/luvit/luvit,,,
3092864,cctools,591,https://github.com/cooperative-computing-lab/,INVÁLIDO,ABERTO,Romero
